템플릿명,작업 항목,작성 양식,실무 예시 1,실무 예시 2,체크리스트,실무 가이드,출처
굴착작업계획서,위험요인,"감전, 화재, 누전 등",전선 피복 손상으로 인한 감전,과부하로 인한 누전,,,
굴착작업계획서,안전조치사항,"차단기 차단, 절연구 사용 등","작업 전 전원 차단, 절연매트 사용","2인1조 작업, 감시자 배치",,,
굴착작업계획서,담당자 서명,직접 서명,홍길동,김민수,,,
굴착작업계획서,,,,,,,
굴착작업계획서,✅ 체크리스트,해당 항목 누락 시 제출 불가,,,,,
, ,작업내용 구체적 작성,,,,,
굴착작업계획서, ,감전 예방 장비 사용 여부 확인,,,,,
굴착작업계획서, ,담당자 서명 필수,,,,,
굴착작업계획서,💡 실무 가이드,작성 전 유의사항,,,,,
굴착작업계획서, ,고전압 작업 시 보호구 착용 철저,,,,,
굴착작업계획서, ,전원 차단 후 잔류전압 확인 필수,,,,,
굴착작업계획서, ,2인 1조 원칙 및 감시자 지정,,,,,
굴착작업계획서,📎 출처,※ 산업안전보건기준에 관한 규칙 및 각종 안전가이드 기준에 따름,,,,,
밀폐공간 출입계획서,작업명,예: 분전반 교체작업,기숙사 분전반 교체,생산동 배전함 점검,,,
밀폐공간 출입계획서,작업일시,YYYY-MM-DD HH:MM~HH:MM,2025-05-02 09:00~12:00,2025-05-03 13:00~15:00,,,
밀폐공간 출입계획서,작업장소,설비 위치 기재,기숙사 1층 전기실,생산동 지하 1층,,,
밀폐공간 출입계획서,작업자,성명 기재,홍길동,김민수,,,
밀폐공간 출입계획서,작업내용,"교체, 점검, 배선 등",노후 분전반 교체,배전함 누전 점검,,,
밀폐공간 출입계획서,사용 장비,"테스터기, 절연장갑 등","전기테스터기, 절연장갑","절연방화복, 절연공구",,,
밀폐공간 출입계획서,위험요인,"감전, 화재, 누전 등",전선 피복 손상으로 인한 감전,과부하로 인한 누전,,,
밀폐공간 출입계획서,안전조치사항,"차단기 차단, 절연구 사용 등","작업 전 전원 차단, 절연매트 사용","2인1조 작업, 감시자 배치",,,
밀폐공간 출입계획서,담당자 서명,직접 서명,홍길동,김민수,,,
밀폐공간 출입계획서,,,,,,,
밀폐공간 출입계획서,✅ 체크리스트,해당 항목 누락 시 제출 불가,,,,,
, ,작업내용 구체적 작성,,,,,
밀폐공간 출입계획서, ,감전 예방 장비 사용 여부 확인,,,,,
밀폐공간 출입계획서, ,담당자 서명 필수,,,,,
밀폐공간 출입계획서,💡 실무 가이드,작성 전 유의사항,,,,,
밀폐공간 출입계획서, ,고전압 작업 시 보호구 착용 철저,,,,,
밀폐공간 출입계획서, ,전원 차단 후 잔류전압 확인 필수,,,,,
밀폐공간 출입계획서, ,2인 1조 원칙 및 감시자 지정,,,,,
밀폐공간 출입계획서,📎 출처,※ 산업안전보건기준에 관한 규칙 및 각종 안전가이드 기준에 따름,,,,,
크레인 작업계획서,작업명,예: 분전반 교체작업,기숙사 분전반 교체,생산동 배전함 점검,,,
크레인 작업계획서,작업일시,YYYY-MM-DD HH:MM~HH:MM,2025-05-02 09:00~12:00,2025-05-03 13:00~15:00,,,
크레인 작업계획서,작업장소,설비 위치 기재,기숙사 1층 전기실,생산동 지하 1층,,,
크레인 작업계획서,작업자,성명 기재,홍길동,김민수,,,
크레인 작업계획서,작업내용,"교체, 점검, 배선 등",노후 분전반 교체,배전함 누전 점검,,,
크레인 작업계획서,사용 장비,"테스터기, 절연장갑 등","전기테스터기, 절연장갑","절연방화복, 절연공구",,,
크레인 작업계획서,위험요인,"감전, 화재, 누전 등",전선 피복 손상으로 인한 감전,과부하로 인한 누전,,,
크레인 작업계획서,안전조치사항,"차단기 차단, 절연구 사용 등","작업 전 전원 차단, 절연매트 사용","2인1조 작업, 감시자 배치",,,
크레인 작업계획서,담당자 서명,직접 서명,홍길동,김민수,,,
크레인 작업계획서,,,,,,,
크레인 작업계획서,✅ 체크리스트,해당 항목 누락 시 제출 불가,,,,,
, ,작업내용 구체적 작성,,,,,
크레인 작업계획서, ,감전 예방 장비 사용 여부 확인,,,,,
크레인 작업계획서, ,담당자 서명 필수,,,,,
크레인 작업계획서,💡 실무 가이드,작성 전 유의사항,,,,,
크레인 작업계획서, ,고전압 작업 시 보호구 착용 철저,,,,,
크레인 작업계획서, ,전원 차단 후 잔류전압 확인 필수,,,,,
크레인 작업계획서, ,2인 1조 원칙 및 감시자 지정,,,,,
크레인 작업계획서,📎 출처,※ 산업안전보건기준에 관한 규칙 및 각종 안전가이드 기준에 따름,,,,,
비계 설치계획서,작업명,예: 분전반 교체작업,기숙사 분전반 교체,생산동 배전함 점검,,,
비계 설치계획서,작업일시,YYYY-MM-DD HH:MM~HH:MM,2025-05-02 09:00~12:00,2025-05-03 13:00~15:00,,,
비계 설치계획서,작업장소,설비 위치 기재,기숙사 1층 전기실,생산동 지하 1층,,,
비계 설치계획서,작업자,성명 기재,홍길동,김민수,,,
비계 설치계획서,작업내용,"교체, 점검, 배선 등",노후 분전반 교체,배전함 누전 점검,,,
비계 설치계획서,사용 장비,"테스터기, 절연장갑 등","전기테스터기, 절연장갑","절연방화복, 절연공구",,,
비계 설치계획서,위험요인,"감전, 화재, 누전 등",전선 피복 손상으로 인한 감전,과부하로 인한 누전,,,
비계 설치계획서,안전조치사항,"차단기 차단, 절연구 사용 등","작업 전 전원 차단, 절연매트 사용","2인1조 작업, 감시자 배치",,,
비계 설치계획서,담당자 서명,직접 서명,홍길동,김민수,,,
비계 설치계획서,,,,,,,
비계 설치계획서,✅ 체크리스트,해당 항목 누락 시 제출 불가,,,,,
, ,작업내용 구체적 작성,,,,,
비계 설치계획서, ,감전 예방 장비 사용 여부 확인,,,,,
비계 설치계획서, ,담당자 서명 필수,,,,,
비계 설치계획서,💡 실무 가이드,작성 전 유의사항,,,,,
비계 설치계획서, ,고전압 작업 시 보호구 착용 철저,,,,,
비계 설치계획서, ,전원 차단 후 잔류전압 확인 필수,,,,,
비계 설치계획서, ,2인 1조 원칙 및 감시자 지정,,,,,
비계 설치계획서,📎 출처,※ 산업안전보건기준에 관한 규칙 및 각종 안전가이드 기준에 따름,,,,,
기중기 점검표,작업명,예: 분전반 교체작업,기숙사 분전반 교체,생산동 배전함 점검,,,
기중기 점검표,작업일시,YYYY-MM-DD HH:MM~HH:MM,2025-05-02 09:00~12:00,2025-05-03 13:00~15:00,,,
기중기 점검표,작업장소,설비 위치 기재,기숙사 1층 전기실,생산동 지하 1층,,,
기중기 점검표,작업자,성명 기재,홍길동,김민수,,,
기중기 점검표,작업내용,"교체, 점검, 배선 등",노후 분전반 교체,배전함 누전 점검,,,
기중기 점검표,사용 장비,"테스터기, 절연장갑 등","전기테스터기, 절연장갑","절연방화복, 절연공구",,,
기중기 점검표,위험요인,"감전, 화재, 누전 등",전선 피복 손상으로 인한 감전,과부하로 인한 누전,,,
기중기 점검표,안전조치사항,"차단기 차단, 절연구 사용 등","작업 전 전원 차단, 절연매트 사용","2인1조 작업, 감시자 배치",,,
기중기 점검표,담당자 서명,직접 서명,홍길동,김민수,,,
기중기 점검표,,,,,,,
기중기 점검표,✅ 체크리스트,해당 항목 누락 시 제출 불가,,,,,
, ,작업내용 구체적 작성,,,,,
기중기 점검표, ,감전 예방 장비 사용 여부 확인,,,,,
기중기 점검표, ,담당자 서명 필수,,,,,
기중기 점검표,💡 실무 가이드,작성 전 유의사항,,,,,
기중기 점검표, ,고전압 작업 시 보호구 착용 철저,,,,,
기중기 점검표, ,전원 차단 후 잔류전압 확인 필수,,,,,
기중기 점검표, ,2인 1조 원칙 및 감시자 지정,,,,,
기중기 점검표,📎 출처,※ 산업안전보건기준에 관한 규칙 및 각종 안전가이드 기준에 따름,,,,,
가스용접 작업계획서,작업명,예: 분전반 교체작업,기숙사 분전반 교체,생산동 배전함 점검,,,
가스용접 작업계획서,작업일시,YYYY-MM-DD HH:MM~HH:MM,2025-05-02 09:00~12:00,2025-05-03 13:00~15:00,,,
가스용접 작업계획서,작업장소,설비 위치 기재,기숙사 1층 전기실,생산동 지하 1층,,,
가스용접 작업계획서,작업자,성명 기재,홍길동,김민수,,,
가스용접 작업계획서,작업내용,"교체, 점검, 배선 등",노후 분전반 교체,배전함 누전 점검,,,
가스용접 작업계획서,사용 장비,"테스터기, 절연장갑 등","전기테스터기, 절연장갑","절연방화복, 절연공구",,,
가스용접 작업계획서,위험요인,"감전, 화재, 누전 등",전선 피복 손상으로 인한 감전,과부하로 인한 누전,,,
가스용접 작업계획서,안전조치사항,"차단기 차단, 절연구 사용 등","작업 전 전원 차단, 절연매트 사용","2인1조 작업, 감시자 배치",,,
가스용접 작업계획서,담당자 서명,직접 서명,홍길동,김민수,,,
가스용접 작업계획서,,,,,,,
가스용접 작업계획서,✅ 체크리스트,해당 항목 누락 시 제출 불가,,,,,
, ,작업내용 구체적 작성,,,,,
가스용접 작업계획서, ,감전 예방 장비 사용 여부 확인,,,,,
가스용접 작업계획서, ,담당자 서명 필수,,,,,
가스용접 작업계획서,💡 실무 가이드,작성 전 유의사항,,,,,
가스용접 작업계획서, ,고전압 작업 시 보호구 착용 철저,,,,,
가스용접 작업계획서, ,전원 차단 후 잔류전압 확인 필수,,,,,
가스용접 작업계획서, ,2인 1조 원칙 및 감시자 지정,,,,,
가스용접 작업계획서,📎 출처,※ 산업안전보건기준에 관한 규칙 및 각종 안전가이드 기준에 따름,,,,,
전선 설치계획서,작업명,예: 분전반 교체작업,기숙사 분전반 교체,생산동 배전함 점검,,,
전선 설치계획서,작업일시,YYYY-MM-DD HH:MM~HH:MM,2025-05-02 09:00~12:00,2025-05-03 13:00~15:00,,,
전선 설치계획서,작업장소,설비 위치 기재,기숙사 1층 전기실,생산동 지하 1층,,,
전선 설치계획서,작업자,성명 기재,홍길동,김민수,,,
전선 설치계획서,작업내용,"교체, 점검, 배선 등",노후 분전반 교체,배전함 누전 점검,,,
전선 설치계획서,사용 장비,"테스터기, 절연장갑 등","전기테스터기, 절연장갑","절연방화복, 절연공구",,,
전선 설치계획서,위험요인,"감전, 화재, 누전 등",전선 피복 손상으로 인한 감전,과부하로 인한 누전,,,
전선 설치계획서,안전조치사항,"차단기 차단, 절연구 사용 등","작업 전 전원 차단, 절연매트 사용","2인1조 작업, 감시자 배치",,,
전선 설치계획서,담당자 서명,직접 서명,홍길동,김민수,,,
전선 설치계획서,,,,,,,
전선 설치계획서,✅ 체크리스트,해당 항목 누락 시 제출 불가,,,,,
, ,작업내용 구체적 작성,,,,,
전선 설치계획서, ,감전 예방 장비 사용 여부 확인,,,,,
전선 설치계획서, ,담당자 서명 필수,,,,,
전선 설치계획서,💡 실무 가이드,작성 전 유의사항,,,,,
전선 설치계획서, ,고전압 작업 시 보호구 착용 철저,,,,,
전선 설치계획서, ,전원 차단 후 잔류전압 확인 필수,,,,,
전선 설치계획서, ,2인 1조 원칙 및 감시자 지정,,,,,
전선 설치계획서,📎 출처,※ 산업안전보건기준에 관한 규칙 및 각종 안전가이드 기준에 따름,,,,,
배관용접 계획서,작업명,예: 분전반 교체작업,기숙사 분전반 교체,생산동 배전함 점검,,,
배관용접 계획서,작업일시,YYYY-MM-DD HH:MM~HH:MM,2025-05-02 09:00~12:00,2025-05-03 13:00~15:00,,,
배관용접 계획서,작업장소,설비 위치 기재,기숙사 1층 전기실,생산동 지하 1층,,,
배관용접 계획서,작업자,성명 기재,홍길동,김민수,,,
배관용접 계획서,작업내용,"교체, 점검, 배선 등",노후 분전반 교체,배전함 누전 점검,,,
배관용접 계획서,사용 장비,"테스터기, 절연장갑 등","전기테스터기, 절연장갑","절연방화복, 절연공구",,,
배관용접 계획서,위험요인,"감전, 화재, 누전 등",전선 피복 손상으로 인한 감전,과부하로 인한 누전,,,
배관용접 계획서,안전조치사항,"차단기 차단, 절연구 사용 등","작업 전 전원 차단, 절연매트 사용","2인1조 작업, 감시자 배치",,,
배관용접 계획서,담당자 서명,직접 서명,홍길동,김민수,,,
배관용접 계획서,,,,,,,
배관용접 계획서,✅ 체크리스트,해당 항목 누락 시 제출 불가,,,,,
, ,작업내용 구체적 작성,,,,,
배관용접 계획서, ,감전 예방 장비 사용 여부 확인,,,,,
배관용접 계획서, ,담당자 서명 필수,,,,,
배관용접 계획서,💡 실무 가이드,작성 전 유의사항,,,,,
배관용접 계획서, ,고전압 작업 시 보호구 착용 철저,,,,,
배관용접 계획서, ,전원 차단 후 잔류전압 확인 필수,,,,,
배관용접 계획서, ,2인 1조 원칙 및 감시자 지정,,,,,
배관용접 계획서,📎 출처,※ 산업안전보건기준에 관한 규칙 및 각종 안전가이드 기준에 따름,,,,,
가시설점검표,작업명,예: 분전반 교체작업,기숙사 분전반 교체,생산동 배전함 점검,,,
가시설점검표,작업일시,YYYY-MM-DD HH:MM~HH:MM,2025-05-02 09:00~12:00,2025-05-03 13:00~15:00,,,
가시설점검표,작업장소,설비 위치 기재,기숙사 1층 전기실,생산동 지하 1층,,,
가시설점검표,작업자,성명 기재,홍길동,김민수,,,
가시설점검표,작업내용,"교체, 점검, 배선 등",노후 분전반 교체,배전함 누전 점검,,,
가시설점검표,사용 장비,"테스터기, 절연장갑 등","전기테스터기, 절연장갑","절연방화복, 절연공구",,,
가시설점검표,위험요인,"감전, 화재, 누전 등",전선 피복 손상으로 인한 감전,과부하로 인한 누전,,,
가시설점검표,안전조치사항,"차단기 차단, 절연구 사용 등","작업 전 전원 차단, 절연매트 사용","2인1조 작업, 감시자 배치",,,
가시설점검표,담당자 서명,직접 서명,홍길동,김민수,,,
가시설점검표,,,,,,,
가시설점검표,✅ 체크리스트,해당 항목 누락 시 제출 불가,,,,,
, ,작업내용 구체적 작성,,,,,
가시설점검표, ,감전 예방 장비 사용 여부 확인,,,,,
가시설점검표, ,담당자 서명 필수,,,,,
가시설점검표,💡 실무 가이드,작성 전 유의사항,,,,,
가시설점검표, ,고전압 작업 시 보호구 착용 철저,,,,,
가시설점검표, ,전원 차단 후 잔류전압 확인 필수,,,,,
가시설점검표, ,2인 1조 원칙 및 감시자 지정,,,,,
가시설점검표,📎 출처,※ 산업안전보건기준에 관한 규칙 및 각종 안전가이드 기준에 따름,,,,,
고압가스작업계획서,작업명,예: 분전반 교체작업,기숙사 분전반 교체,생산동 배전함 점검,,,
고압가스작업계획서,작업일시,YYYY-MM-DD HH:MM~HH:MM,2025-05-02 09:00~12:00,2025-05-03 13:00~15:00,,,
고압가스작업계획서,작업장소,설비 위치 기재,기숙사 1층 전기실,생산동 지하 1층,,,
고압가스작업계획서,작업자,성명 기재,홍길동,김민수,,,
고압가스작업계획서,작업내용,"교체, 점검, 배선 등",노후 분전반 교체,배전함 누전 점검,,,
고압가스작업계획서,사용 장비,"테스터기, 절연장갑 등","전기테스터기, 절연장갑","절연방화복, 절연공구",,,
고압가스작업계획서,위험요인,"감전, 화재, 누전 등",전선 피복 손상으로 인한 감전,과부하로 인한 누전,,,
고압가스작업계획서,안전조치사항,"차단기 차단, 절연구 사용 등","작업 전 전원 차단, 절연매트 사용","2인1조 작업, 감시자 배치",,,
고압가스작업계획서,담당자 서명,직접 서명,홍길동,김민수,,,
고압가스작업계획서,,,,,,,
고압가스작업계획서,✅ 체크리스트,해당 항목 누락 시 제출 불가,,,,,
, ,작업내용 구체적 작성,,,,,
고압가스작업계획서, ,감전 예방 장비 사용 여부 확인,,,,,
고압가스작업계획서, ,담당자 서명 필수,,,,,
고압가스작업계획서,💡 실무 가이드,작성 전 유의사항,,,,,
고압가스작업계획서, ,고전압 작업 시 보호구 착용 철저,,,,,
고압가스작업계획서, ,전원 차단 후 잔류전압 확인 필수,,,,,
고압가스작업계획서, ,2인 1조 원칙 및 감시자 지정,,,,,
고압가스작업계획서,📎 출처,※ 산업안전보건기준에 관한 규칙 및 각종 안전가이드 기준에 따름,,,,,
교대근무계획표,작업명,예: 분전반 교체작업,기숙사 분전반 교체,생산동 배전함 점검,,,
교대근무계획표,작업일시,YYYY-MM-DD HH:MM~HH:MM,2025-05-02 09:00~12:00,2025-05-03 13:00~15:00,,,
교대근무계획표,작업장소,설비 위치 기재,기숙사 1층 전기실,생산동 지하 1층,,,
교대근무계획표,작업자,성명 기재,홍길동,김민수,,,
교대근무계획표,작업내용,"교체, 점검, 배선 등",노후 분전반 교체,배전함 누전 점검,,,
교대근무계획표,사용 장비,"테스터기, 절연장갑 등","전기테스터기, 절연장갑","절연방화복, 절연공구",,,
교대근무계획표,위험요인,"감전, 화재, 누전 등",전선 피복 손상으로 인한 감전,과부하로 인한 누전,,,
교대근무계획표,안전조치사항,"차단기 차단, 절연구 사용 등","작업 전 전원 차단, 절연매트 사용","2인1조 작업, 감시자 배치",,,
교대근무계획표,담당자 서명,직접 서명,홍길동,김민수,,,
교대근무계획표,,,,,,,
교대근무계획표,✅ 체크리스트,해당 항목 누락 시 제출 불가,,,,,
, ,작업내용 구체적 작성,,,,,
교대근무계획표, ,감전 예방 장비 사용 여부 확인,,,,,
교대근무계획표, ,담당자 서명 필수,,,,,
교대근무계획표,💡 실무 가이드,작성 전 유의사항,,,,,
교대근무계획표, ,고전압 작업 시 보호구 착용 철저,,,,,
교대근무계획표, ,전원 차단 후 잔류전압 확인 필수,,,,,
교대근무계획표, ,2인 1조 원칙 및 감시자 지정,,,,,
교대근무계획표,📎 출처,※ 산업안전보건기준에 관한 규칙 및 각종 안전가이드 기준에 따름,,,,,
구내버스운행관리대장,작업명,예: 분전반 교체작업,기숙사 분전반 교체,생산동 배전함 점검,,,
구내버스운행관리대장,작업일시,YYYY-MM-DD HH:MM~HH:MM,2025-05-02 09:00~12:00,2025-05-03 13:00~15:00,,,
구내버스운행관리대장,작업장소,설비 위치 기재,기숙사 1층 전기실,생산동 지하 1층,,,
구내버스운행관리대장,작업자,성명 기재,홍길동,김민수,,,
구내버스운행관리대장,작업내용,"교체, 점검, 배선 등",노후 분전반 교체,배전함 누전 점검,,,
구내버스운행관리대장,사용 장비,"테스터기, 절연장갑 등","전기테스터기, 절연장갑","절연방화복, 절연공구",,,
구내버스운행관리대장,위험요인,"감전, 화재, 누전 등",전선 피복 손상으로 인한 감전,과부하로 인한 누전,,,
구내버스운행관리대장,안전조치사항,"차단기 차단, 절연구 사용 등","작업 전 전원 차단, 절연매트 사용","2인1조 작업, 감시자 배치",,,
구내버스운행관리대장,담당자 서명,직접 서명,홍길동,김민수,,,
구내버스운행관리대장,,,,,,,
구내버스운행관리대장,✅ 체크리스트,해당 항목 누락 시 제출 불가,,,,,
, ,작업내용 구체적 작성,,,,,
구내버스운행관리대장, ,감전 예방 장비 사용 여부 확인,,,,,
구내버스운행관리대장, ,담당자 서명 필수,,,,,
구내버스운행관리대장,💡 실무 가이드,작성 전 유의사항,,,,,
구내버스운행관리대장, ,고전압 작업 시 보호구 착용 철저,,,,,
구내버스운행관리대장, ,전원 차단 후 잔류전압 확인 필수,,,,,
구내버스운행관리대장, ,2인 1조 원칙 및 감시자 지정,,,,,
구내버스운행관리대장,📎 출처,※ 산업안전보건기준에 관한 규칙 및 각종 안전가이드 기준에 따름,,,,,
굴삭기운전계획서,작업명,예: 분전반 교체작업,기숙사 분전반 교체,생산동 배전함 점검,,,
굴삭기운전계획서,작업일시,YYYY-MM-DD HH:MM~HH:MM,2025-05-02 09:00~12:00,2025-05-03 13:00~15:00,,,
굴삭기운전계획서,작업장소,설비 위치 기재,기숙사 1층 전기실,생산동 지하 1층,,,
굴삭기운전계획서,작업자,성명 기재,홍길동,김민수,,,
굴삭기운전계획서,작업내용,"교체, 점검, 배선 등",노후 분전반 교체,배전함 누전 점검,,,
굴삭기운전계획서,사용 장비,"테스터기, 절연장갑 등","전기테스터기, 절연장갑","절연방화복, 절연공구",,,
굴삭기운전계획서,위험요인,"감전, 화재, 누전 등",전선 피복 손상으로 인한 감전,과부하로 인한 누전,,,
굴삭기운전계획서,안전조치사항,"차단기 차단, 절연구 사용 등","작업 전 전원 차단, 절연매트 사용","2인1조 작업, 감시자 배치",,,
굴삭기운전계획서,담당자 서명,직접 서명,홍길동,김민수,,,
굴삭기운전계획서,,,,,,,
굴삭기운전계획서,✅ 체크리스트,해당 항목 누락 시 제출 불가,,,,,
, ,작업내용 구체적 작성,,,,,
굴삭기운전계획서, ,감전 예방 장비 사용 여부 확인,,,,,
굴삭기운전계획서, ,담당자 서명 필수,,,,,
굴삭기운전계획서,💡 실무 가이드,작성 전 유의사항,,,,,
굴삭기운전계획서, ,고전압 작업 시 보호구 착용 철저,,,,,
굴삭기운전계획서, ,전원 차단 후 잔류전압 확인 필수,,,,,
굴삭기운전계획서, ,2인 1조 원칙 및 감시자 지정,,,,,
굴삭기운전계획서,📎 출처,※ 산업안전보건기준에 관한 규칙 및 각종 안전가이드 기준에 따름,,,,,
위험기계잠금·격리절차서,작업명,예: 분전반 교체작업,기숙사 분전반 교체,생산동 배전함 점검,,,
위험기계잠금·격리절차서,작업일시,YYYY-MM-DD HH:MM~HH:MM,2025-05-02 09:00~12:00,2025-05-03 13:00~15:00,,,
위험기계잠금·격리절차서,작업장소,설비 위치 기재,기숙사 1층 전기실,생산동 지하 1층,,,
위험기계잠금·격리절차서,작업자,성명 기재,홍길동,김민수,,,
위험기계잠금·격리절차서,작업내용,"교체, 점검, 배선 등",노후 분전반 교체,배전함 누전 점검,,,
위험기계잠금·격리절차서,사용 장비,"테스터기, 절연장갑 등","전기테스터기, 절연장갑","절연방화복, 절연공구",,,
위험기계잠금·격리절차서,위험요인,"감전, 화재, 누전 등",전선 피복 손상으로 인한 감전,과부하로 인한 누전,,,
위험기계잠금·격리절차서,안전조치사항,"차단기 차단, 절연구 사용 등","작업 전 전원 차단, 절연매트 사용","2인1조 작업, 감시자 배치",,,
위험기계잠금·격리절차서,담당자 서명,직접 서명,홍길동,김민수,,,
위험기계잠금·격리절차서,,,,,,,
위험기계잠금·격리절차서,✅ 체크리스트,해당 항목 누락 시 제출 불가,,,,,
, ,작업내용 구체적 작성,,,,,
위험기계잠금·격리절차서, ,감전 예방 장비 사용 여부 확인,,,,,
위험기계잠금·격리절차서, ,담당자 서명 필수,,,,,
위험기계잠금·격리절차서,💡 실무 가이드,작성 전 유의사항,,,,,
위험기계잠금·격리절차서, ,고전압 작업 시 보호구 착용 철저,,,,,
